Domain,Endpoint,Method,Auth,Status,Notes
Authentication,/api/v1/auth/register,POST,none,SPECIFIED — not implemented,Creates the owner account and its first workspace.
Authentication,/api/v1/auth/login,POST,none,SPECIFIED — not implemented,Returns an access token and sets a refresh cookie.
Authentication,/api/v1/auth/logout,POST,none,SPECIFIED — not implemented,Revokes the current session.
Authentication,/api/v1/auth/refresh,POST,none,SPECIFIED — not implemented,Rotates the refresh token; reuse of an old token revokes the family.
Authentication,/api/v1/auth/password/reset,POST,none,SPECIFIED — not implemented,Always returns 202 so the endpoint cannot enumerate accounts.
Authentication,/api/v1/auth/verify,POST,none,SPECIFIED — not implemented,Verify an email address
Authentication,/api/v1/auth/mfa/enroll,POST,none,SPECIFIED — not implemented,Begin MFA enrolment
Authentication,/api/v1/auth/mfa/verify,POST,none,SPECIFIED — not implemented,Confirm an MFA challenge
Authentication,/api/v1/auth/sessions,GET,bearer,SPECIFIED — not implemented,List active sessions
Authentication,/api/v1/auth/sessions,DELETE,bearer,SPECIFIED — not implemented,Revoke all other sessions
CRM,/api/v1/contacts,GET,bearer,SPECIFIED — not implemented,List Contacts
CRM,/api/v1/contacts,POST,bearer,SPECIFIED — not implemented,Create a Contact
CRM,/api/v1/contacts/{id},GET,bearer,SPECIFIED — not implemented,Get a Contact
CRM,/api/v1/contacts/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Contact
CRM,/api/v1/contacts/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
CRM,/api/v1/contacts/bulk,POST,bearer,SPECIFIED — not implemented,Accepts up to 500 per request; partial success is reported per row.
CRM,/api/v1/contacts/import,POST,bearer,SPECIFIED — not implemented,Asynchronous. Returns a job id.
CRM,/api/v1/contacts/export,GET,bearer,SPECIFIED — not implemented,Respects the current filter and the caller's field permissions.
CRM,/api/v1/contacts/merge,POST,bearer,SPECIFIED — not implemented,Requires both ids and a surviving id. Never merges automatically.
CRM,/api/v1/contacts/{id}/timeline,GET,bearer,SPECIFIED — not implemented,"Messages, calls, appointments, deals, campaigns and AI actions in one chronological feed."
CRM,/api/v1/contacts/{id}/360,GET,bearer,SPECIFIED — not implemented,Everything the workspace knows about this person.
CRM,/api/v1/contacts/{id}/memory,GET,bearer,SPECIFIED — not implemented,"Facts with source, confidence and provenance."
CRM,/api/v1/contacts/{id}/memory,POST,bearer,SPECIFIED — not implemented,Record a customer fact
CRM,/api/v1/contacts/{id}/score,GET,bearer,SPECIFIED — not implemented,"Computed on read, never stored."
CRM,/api/v1/contacts/{id}/health,GET,bearer,SPECIFIED — not implemented,Customer health with its factors
CRM,/api/v1/contacts/{id}/next-action,GET,bearer,SPECIFIED — not implemented,"Returns the action, evidence, channel and urgency."
CRM,/api/v1/companies,GET,bearer,SPECIFIED — not implemented,List Companys
CRM,/api/v1/companies,POST,bearer,SPECIFIED — not implemented,Create a Company
CRM,/api/v1/companies/{id},GET,bearer,SPECIFIED — not implemented,Get a Company
CRM,/api/v1/companies/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Company
CRM,/api/v1/companies/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
CRM,/api/v1/deals,GET,bearer,SPECIFIED — not implemented,List Deals
CRM,/api/v1/deals,POST,bearer,SPECIFIED — not implemented,Create a Deal
CRM,/api/v1/deals/{id},GET,bearer,SPECIFIED — not implemented,Get a Deal
CRM,/api/v1/deals/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Deal
CRM,/api/v1/deals/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
CRM,/api/v1/deals/{id}/stage,POST,bearer,SPECIFIED — not implemented,Writes an audit entry with the previous stage.
CRM,/api/v1/pipelines,GET,bearer,SPECIFIED — not implemented,List Pipelines
CRM,/api/v1/pipelines,POST,bearer,SPECIFIED — not implemented,Create a Pipeline
CRM,/api/v1/pipelines/{id},GET,bearer,SPECIFIED — not implemented,Get a Pipeline
CRM,/api/v1/pipelines/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Pipeline
CRM,/api/v1/pipelines/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
CRM,/api/v1/tasks,GET,bearer,SPECIFIED — not implemented,List Tasks
CRM,/api/v1/tasks,POST,bearer,SPECIFIED — not implemented,Create a Task
CRM,/api/v1/tasks/{id},GET,bearer,SPECIFIED — not implemented,Get a Task
CRM,/api/v1/tasks/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Task
CRM,/api/v1/tasks/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
CRM,/api/v1/segments,GET,bearer,SPECIFIED — not implemented,List Segments
CRM,/api/v1/segments,POST,bearer,SPECIFIED — not implemented,Create a Segment
CRM,/api/v1/segments/{id},GET,bearer,SPECIFIED — not implemented,Get a Segment
CRM,/api/v1/segments/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Segment
CRM,/api/v1/segments/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
CRM,/api/v1/custom-fields,GET,bearer,SPECIFIED — not implemented,List CustomFields
CRM,/api/v1/custom-fields,POST,bearer,SPECIFIED — not implemented,Create a CustomField
CRM,/api/v1/custom-fields/{id},GET,bearer,SPECIFIED — not implemented,Get a CustomField
CRM,/api/v1/custom-fields/{id},PATCH,bearer,SPECIFIED — not implemented,Update a CustomField
CRM,/api/v1/custom-fields/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
Identity,/api/v1/identities,GET,bearer,SPECIFIED — not implemented,List Identitys
Identity,/api/v1/identities,POST,bearer,SPECIFIED — not implemented,Create a Identity
Identity,/api/v1/identities/{id},GET,bearer,SPECIFIED — not implemented,Get a Identity
Identity,/api/v1/identities/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Identity
Identity,/api/v1/identities/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
Identity,/api/v1/identities/resolve,POST,bearer,SPECIFIED — not implemented,"Returns match, suggest or create with a confidence score. Never merges below the high threshold."
Identity,/api/v1/identities/duplicates,GET,bearer,SPECIFIED — not implemented,Ranked by confidence with the matching signals listed.
Identity,/api/v1/identities/{id}/merge,POST,bearer,SPECIFIED — not implemented,Requires explicit confirmation.
Identity,/api/v1/identities/{id}/split,POST,bearer,SPECIFIED — not implemented,Split a wrongly merged identity
Inbox,/api/v1/conversations,GET,bearer,SPECIFIED — not implemented,List Conversations
Inbox,/api/v1/conversations,POST,bearer,SPECIFIED — not implemented,Create a Conversation
Inbox,/api/v1/conversations/{id},GET,bearer,SPECIFIED — not implemented,Get a Conversation
Inbox,/api/v1/conversations/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Conversation
Inbox,/api/v1/conversations/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
Inbox,/api/v1/conversations/{id}/messages,GET,bearer,SPECIFIED — not implemented,List messages in a conversation
Inbox,/api/v1/conversations/{id}/messages,POST,bearer,SPECIFIED — not implemented,"Runs the communication orchestrator: consent, preference, quiet hours, frequency and agent governance."
Inbox,/api/v1/conversations/{id}/assign,POST,bearer,SPECIFIED — not implemented,Assign to a person or agent
Inbox,/api/v1/conversations/{id}/handoff,POST,bearer,SPECIFIED — not implemented,"Attaches the transcript, summary, CRM record and reason."
Inbox,/api/v1/conversations/{id}/read,POST,bearer,SPECIFIED — not implemented,Mark as read
Inbox,/api/v1/conversations/{id}/notes,POST,bearer,SPECIFIED — not implemented,Never visible to the customer.
Calls,/api/v1/calls,GET,bearer,SPECIFIED — not implemented,List Calls
Calls,/api/v1/calls,POST,bearer,SPECIFIED — not implemented,Create a Call
Calls,/api/v1/calls/{id},GET,bearer,SPECIFIED — not implemented,Get a Call
Calls,/api/v1/calls/{id},PATCH,bearer,SPECIFIED — not implemented,Update a Call
Calls,/api/v1/calls/{id},DELETE,bearer,SPECIFIED — not implemented,Soft delete. Records are retained for audit and can be restored.
Calls,/api/v1/calls/{id}/recording,GET,bearer,SPECIFIED — not implemented,Signed and short lived; re-issued per request.
Calls,/api/v1/calls/{id}/transcript,GET,bearer,SPECIFIED — not implemented,Full transcript with timestamps
Calls,/api/v1/calls/{id}/summary,GET,bearer,SPECIFIED — not implemented,AI summary
Calls,/api/v1/calls/{id}/summary,POST,bearer,SPECIFIED — not implemented,Regenerate the summary
Calls,/api/v1/calls/outbound,POST,bearer,SPECIFIED — not implemented,Checks agent permission and autonomy before dialling.
